Sweep, M, |M|
0, -0.750000, 0.750000
1, 0.250000, 0.250000
2, 0.875000, 0.875000
3, -0.500000, 0.500000
4, -0.375000, 0.375000
5, 0.875000, 0.875000
6, 0.875000, 0.875000
7, -0.375000, 0.375000
8, -0.250000, 0.250000
9, 0.875000, 0.875000
10, -0.125000, 0.125000
11, -0.625000, 0.625000
12, -0.375000, 0.375000
13, 0.250000, 0.250000
14, 0.500000, 0.500000
15, -0.250000, 0.250000
16, 0.625000, 0.625000
17, 0.250000, 0.250000
18, -0.500000, 0.500000
19, 0.000000, 0.000000
20, 0.375000, 0.375000
21, -0.375000, 0.375000
22, 0.250000, 0.250000
23, -0.500000, 0.500000
24, 0.250000, 0.250000
25, 0.125000, 0.125000
26, -0.125000, 0.125000
27, 0.000000, 0.000000
28, 0.250000, 0.250000
29, 0.000000, 0.000000
30, 0.125000, 0.125000
31, -0.125000, 0.125000
32, -0.625000, 0.625000
33, -0.750000, 0.750000
34, -0.125000, 0.125000
35, 0.375000, 0.375000
36, -0.500000, 0.500000
37, 0.125000, 0.125000
38, -0.125000, 0.125000
39, 0.125000, 0.125000
40, -0.375000, 0.375000
41, 0.375000, 0.375000
42, -0.250000, 0.250000
43, 0.250000, 0.250000
44, -0.250000, 0.250000
45, -0.250000, 0.250000
46, 0.375000, 0.375000
47, 0.875000, 0.875000
48, 0.000000, 0.000000
49, -0.125000, 0.125000
50, 0.125000, 0.125000
51, -0.125000, 0.125000
52, 0.125000, 0.125000
53, 0.375000, 0.375000
54, 0.250000, 0.250000
55, 0.500000, 0.500000
56, -0.250000, 0.250000
57, -0.625000, 0.625000
58, 0.375000, 0.375000
59, 0.750000, 0.750000
60, -0.500000, 0.500000
61, -0.375000, 0.375000
62, 0.125000, 0.125000
63, 0.250000, 0.250000
64, -0.375000, 0.375000
65, 0.125000, 0.125000
66, -0.250000, 0.250000
67, 0.250000, 0.250000
68, -0.125000, 0.125000
69, 0.250000, 0.250000
70, 0.125000, 0.125000
71, 0.375000, 0.375000
72, 0.500000, 0.500000
73, -0.875000, 0.875000
74, -0.500000, 0.500000
75, -0.375000, 0.375000
76, -0.125000, 0.125000
77, 0.000000, 0.000000
78, 0.500000, 0.500000
79, 0.250000, 0.250000
80, -0.500000, 0.500000
81, 0.500000, 0.500000
82, 0.125000, 0.125000
83, -0.250000, 0.250000
84, 0.250000, 0.250000
85, -0.125000, 0.125000
86, -0.500000, 0.500000
87, 0.375000, 0.375000
88, -0.750000, 0.750000
89, -0.500000, 0.500000
90, -0.500000, 0.500000
91, -0.375000, 0.375000
92, 0.250000, 0.250000
93, -0.625000, 0.625000
94, -0.500000, 0.500000
95, -0.500000, 0.500000
96, -0.125000, 0.125000
97, 0.375000, 0.375000
98, 0.250000, 0.250000
99, 0.000000, 0.000000
100, 0.875000, 0.875000
101, -0.500000, 0.500000
102, -0.500000, 0.500000
103, -0.250000, 0.250000
104, 0.375000, 0.375000
105, 0.250000, 0.250000
106, -0.250000, 0.250000
107, 0.500000, 0.500000
108, -0.500000, 0.500000
109, -0.750000, 0.750000
110, -0.875000, 0.875000
111, 0.625000, 0.625000
112, -0.125000, 0.125000
113, -0.750000, 0.750000
114, 0.000000, 0.000000
115, -0.750000, 0.750000
116, 0.000000, 0.000000
117, 0.375000, 0.375000
118, 0.250000, 0.250000
119, -0.250000, 0.250000
120, 0.625000, 0.625000
121, -0.750000, 0.750000
122, 0.500000, 0.500000
123, -0.125000, 0.125000
124, 0.250000, 0.250000
125, 0.250000, 0.250000
126, 0.250000, 0.250000
127, 0.375000, 0.375000
128, 0.375000, 0.375000
129, 0.375000, 0.375000
130, -0.500000, 0.500000
131, -0.250000, 0.250000
132, 0.250000, 0.250000
133, 0.000000, 0.000000
134, -0.500000, 0.500000
135, 0.500000, 0.500000
136, 0.250000, 0.250000
137, -0.375000, 0.375000
138, 0.000000, 0.000000
139, -0.500000, 0.500000
140, -0.125000, 0.125000
141, 0.625000, 0.625000
142, 0.750000, 0.750000
143, 0.750000, 0.750000
144, -0.750000, 0.750000
145, -0.125000, 0.125000
146, 0.250000, 0.250000
147, 0.000000, 0.000000
148, 0.000000, 0.000000
149, 0.250000, 0.250000
150, -0.625000, 0.625000
151, 0.500000, 0.500000
152, -0.500000, 0.500000
153, -0.250000, 0.250000
154, -0.500000, 0.500000
155, 0.250000, 0.250000
156, -0.625000, 0.625000
157, -0.125000, 0.125000
158, 0.125000, 0.125000
159, 0.375000, 0.375000
160, -0.250000, 0.250000
161, -0.125000, 0.125000
162, 0.125000, 0.125000
163, 0.500000, 0.500000
164, 0.250000, 0.250000
165, -0.250000, 0.250000
166, -0.125000, 0.125000
167, 0.500000, 0.500000
168, -0.750000, 0.750000
169, 0.625000, 0.625000
170, -0.625000, 0.625000
171, 0.375000, 0.375000
172, 0.500000, 0.500000
173, 0.000000, 0.000000
174, -0.500000, 0.500000
175, -0.250000, 0.250000
176, 0.500000, 0.500000
177, -0.125000, 0.125000
178, -0.375000, 0.375000
179, 0.250000, 0.250000
180, -0.250000, 0.250000
181, 0.250000, 0.250000
182, -0.250000, 0.250000
183, -0.750000, 0.750000
184, -0.500000, 0.500000
185, 0.625000, 0.625000
186, -0.750000, 0.750000
187, -0.375000, 0.375000
188, 0.125000, 0.125000
189, -0.125000, 0.125000
190, 0.375000, 0.375000
191, 0.375000, 0.375000
192, 0.000000, 0.000000
193, 0.000000, 0.000000
194, 0.750000, 0.750000
195, 0.500000, 0.500000
196, 0.125000, 0.125000
197, -0.125000, 0.125000
198, 0.000000, 0.000000
199, -0.500000, 0.500000
200, 0.000000, 0.000000
201, 1.000000, 1.000000
202, -0.625000, 0.625000
203, 0.250000, 0.250000
204, -0.375000, 0.375000
205, -0.125000, 0.125000
206, 0.250000, 0.250000
207, -0.500000, 0.500000
208, 0.125000, 0.125000
209, -0.375000, 0.375000
210, 0.250000, 0.250000
211, -0.500000, 0.500000
212, 0.000000, 0.000000
213, 0.250000, 0.250000
214, -0.625000, 0.625000
215, 0.125000, 0.125000
216, 0.375000, 0.375000
217, -0.125000, 0.125000
218, -0.625000, 0.625000
219, -0.250000, 0.250000
220, -0.375000, 0.375000
221, 0.000000, 0.000000
222, -0.375000, 0.375000
223, -0.375000, 0.375000
224, -0.500000, 0.500000
225, -0.125000, 0.125000
226, 0.000000, 0.000000
227, 0.000000, 0.000000
228, -0.125000, 0.125000
229, 0.250000, 0.250000
230, -0.250000, 0.250000
231, -0.375000, 0.375000
232, -0.125000, 0.125000
233, 0.250000, 0.250000
234, 0.125000, 0.125000
235, 0.625000, 0.625000
236, -0.500000, 0.500000
237, 0.500000, 0.500000
238, -0.500000, 0.500000
239, -0.375000, 0.375000
240, -0.375000, 0.375000
241, -0.625000, 0.625000
242, -0.750000, 0.750000
243, -0.250000, 0.250000
244, -0.250000, 0.250000
245, 0.000000, 0.000000
246, -0.625000, 0.625000
247, 0.125000, 0.125000
248, 0.125000, 0.125000
249, -0.500000, 0.500000
250, 0.625000, 0.625000
251, 0.750000, 0.750000
252, -0.375000, 0.375000
253, -0.250000, 0.250000
254, -0.375000, 0.375000
255, -0.125000, 0.125000
256, -0.125000, 0.125000
257, 0.250000, 0.250000
258, 0.250000, 0.250000
259, -0.500000, 0.500000
260, -0.625000, 0.625000
261, -0.250000, 0.250000
262, -0.125000, 0.125000
263, 0.000000, 0.000000
264, 0.125000, 0.125000
265, -0.125000, 0.125000
266, 0.625000, 0.625000
267, -0.375000, 0.375000
268, 0.375000, 0.375000
269, -0.500000, 0.500000
270, 0.500000, 0.500000
271, 0.000000, 0.000000
272, 0.000000, 0.000000
273, -0.125000, 0.125000
274, -0.375000, 0.375000
275, 0.125000, 0.125000
276, -0.250000, 0.250000
277, -0.125000, 0.125000
278, 0.250000, 0.250000
279, -0.375000, 0.375000
280, 0.375000, 0.375000
281, -0.250000, 0.250000
282, 0.000000, 0.000000
283, 0.500000, 0.500000
284, -0.250000, 0.250000
285, -0.250000, 0.250000
